contract_address,evt_block_number,evt_block_time,evt_index,evt_tx_hash,from,to,value
\x4291f029b9e7acb02d49428458cf6fceac545f81,23529912,2022-08-04T23:02:25+00:00,17,\x1c78ce82df971c34daded26646427b722350e855e6dbec14b016e4edf1fddb84,\xd1a978936d371ca638ee091c755f8622a421f4ec,\xfd30e3b7ba7a6d33491429dd117f38343ae0008c,2724652520256294400
\x5df8339c5e282ee48c0c7ce8a7d01a73d38b3b27,24193187,2022-09-15T09:32:55+00:00,70,\x916c9f53329b34b2ceea49119cd44615f82b574b5add24568992ca09af991199,\x7d9395c09ab2b1ac7417158d57b44722e2e6f12c,\x98f6a05f0cf0a07c9cb988ee152f346b34d6b8da,623952364240206700
\x5df8339c5e282ee48c0c7ce8a7d01a73d38b3b27,22634181,2022-06-13T05:45:50+00:00,5,\x75a50cd90065e573121879989516b572fc001be49f8ad73e12bd4d4d46704b44,\x98f6a05f0cf0a07c9cb988ee152f346b34d6b8da,\x71641d6656ffb673f471ea292ea09ac528cc4df2,9953346988292606000
\x5df8339c5e282ee48c0c7ce8a7d01a73d38b3b27,21586759,2022-04-11T16:39:15+00:00,43,\xcecac227146a2b0d727c0282aab5bcef787154acca5dd69c7eca5491be18e330,\x98f6a05f0cf0a07c9cb988ee152f346b34d6b8da,\x2769e63ebc6cf6e9803ed87aea125eb596a38f95,135809351150043090
\x4291f029b9e7acb02d49428458cf6fceac545f81,23526674,2022-08-04T18:32:05+00:00,28,\xb3523e7366b1b4afacef6d098d7136ce25555b43c084c3ded0b16c2e221a8e1d,\xfd30e3b7ba7a6d33491429dd117f38343ae0008c,\xd1a978936d371ca638ee091c755f8622a421f4ec,15326215130294888000
\x5df8339c5e282ee48c0c7ce8a7d01a73d38b3b27,20191729,2022-01-19T17:24:15+00:00,38,\x98c0af2769a00892fb4193d6f7068ecf00547be9f062501776f934989379d862,\x080c696b7bd6d830bf5092fe7dfcb72b42bdd8b7,\x1d8a08c8c3ce0a852cb4da902754991759f7f625,5.11860331675711e+21
\x5df8339c5e282ee48c0c7ce8a7d01a73d38b3b27,20191729,2022-01-19T17:24:15+00:00,9,\x98c0af2769a00892fb4193d6f7068ecf00547be9f062501776f934989379d862,\x0000000000000000000000000000000000000000,\x080c696b7bd6d830bf5092fe7dfcb72b42bdd8b7,5.676155829832937e+21
\x5df8339c5e282ee48c0c7ce8a7d01a73d38b3b27,23556840,2022-08-06T12:27:05+00:00,0,\xc1d97acf4dbfd66ea3911219806cb465a631a71ce0dfd5b776e35626c8759532,\xa32aecda752cf4ef89956e83d60c04835d4fa867,\x0000000000000000000000000000000000000000,100000000000000000000
\x5df8339c5e282ee48c0c7ce8a7d01a73d38b3b27,20191801,2022-01-19T17:30:15+00:00,95,\x8fcadcfe6c9e65b15b7ab52d1cd361fceba1ef80420571c7a5d406e75ccd447f,\x080c696b7bd6d830bf5092fe7dfcb72b42bdd8b7,\x760c7b2403a9ee72e704b35adecf94e3d42a9d4f,145000000000000000000
\x5df8339c5e282ee48c0c7ce8a7d01a73d38b3b27,20363233,2022-01-29T15:53:50+00:00,24,\x1c7e3b5b8abdd3ca99bfeb45293fd1ae7e900fa9dfe3675843e3dc74adfa329a,\x4c8692cc08b14fa8b74b6f313394b8997aad721d,\x2769e63ebc6cf6e9803ed87aea125eb596a38f95,4352915633977551000
